机型,制造序列号,机号,参考类型,件号,序号,件号描述,装上件号,装上序号,安装日期,拆换日期,章节号,部件装上使用小时数,部件装上使用循环数,部件拆下使用小时数,部件拆下使用循环数,部件本次装机使用小时,最近送修公司,送修至拆下时间/FH,送修至拆下时间/CY,故障描述,故障处理,拆换原因
73N,73N02593,5372    ,DE    ,3505945-12              ,GRTF8404        ,STARTER ASSY                                                ,3505945-12              ,GRTF7099        ,2016-04-29,2017-04-13,8011  ,4761:32,2985,7657:00,4424,2895:28,上海普惠,6731:04,3689,航后机组反映右发启动慢AF the crew say the right engine stare slowing叶永豪,"       航后依据AMM80-11-01更换右发启动机启动活门，测试正常试车验证正常AF ref AMM80-11-01,replace the right engine starter andstart balve,test is ok,the strat engine is ok叶永豪封圈ring：S3225-160封圈ring：S3225-222备注:2017-04-14,依据王安立邮件,由于拆下件实物无任何标识,依据系统",FAIL  
73N,73N03392,5540    ,NRC   ,3505945-12              ,A5064C          ,STARTER ASSY                                                ,3505945-12              ,GRT24274        ,2016-02-10,2017-04-07,8011  ,38527:36,19764,41986:51,21728,3459:15,北京丰荣,3459:15,1964,"检查发现右发起动机本体多个连接螺栓损坏。
Some bolts in RH engine starter were found damaged when accomplished inspection.","        1
1-1.  参考AMM80-11-01-000-801-F00(Rev 62, 15 Feb 2017)拆下起动机。
REMOVE THE RH ENG STARTER REFER TO AMM80-11-01-000-801-F00(Rev 62, 15Feb 2017). 
1-2.  参考AMM80-11-01-400-801-F00(Rev 62, 15 Feb 2017)安装起动机。
INSTALLATION THE RH ENG STARTER REFER TO AMM80-11-01-400-801-F00(Rev 62, 15 Feb 2017). 
1-3.  参考AMM71-00-00-700-809-F00(Rev 62,15 Feb 2017)和AMM71-00-00-700-801-F00(Rev 62, 15 Feb 2017)执行起动机测试，结果满足手册要求。
DID THE STARTER LEAKAGE TEST REFER TO AMM71-00-00,TEST OK. 
T30288",FAIL  
73N,73N01855,5139    ,DE    ,3505945-12              ,GRTF2240        ,STARTER ASSY                                                ,3505945-12              ,GRTF3038        ,2016-08-27,2017-03-31,8011  ,24110:39,12225,25887:22,13147,1776:43,武汉航达,1776:43,922,,"     航后完成MCO-2017-03-31-68,依据AMM80-11-01,更换右发启动机,干冷转无漏气,试车检查无漏油(完成试车工卡TACK71-00-00-800-8011-F00)栾志灵,孔令山AF ACCOMPLISH THE MCO-2017-03-31-68 ACCORDING TO AMM80-11-01 REPLACETHE STATER OF RIGHT ENGINE ACCOMPLISH THE TACK71-00-00-800-911-F00THERE IS NO LEAKING PRENMATIC AS DRYMOTORING THE ENGIE AND NO LEAKOIL AS IDLE-POWER",FAIL  
73N,73N02155,5710    ,DE    ,3505945-12              ,GRTA5005C       ,STARTER ASSY                                                ,3505945-12              ,GRTF2055        ,2017-03-25,2017-03-28,8011  ,00:00,0,29:53,14,29:53,,, ,,"   航后完成右发起动机借件拆还,依据AMM80-11-01更换右发起动机,测试正常.李康AF finished lease spare return,refer to AMM80-11-01 replace RING starter,test OK",SCH   
73N,73N00154,5060    ,DE    ,3505945-12              ,GRTA1602C       ,STARTER ASSY                                                ,3505945-12              ,GRTF1007        ,2016-11-10,2017-03-04,80    ,37462:02,19771,38231:06,20182,769:04,武汉航达,769:04,411,,完成B-5060  退租检  WOH73N 13650  非例行拆换.,FAIL  
73N,73N04118,1906    ,DE    ,3505945-10              ,GRTF4666        ,(AOG)（不完全禁订禁用）STARTER ASSY                         ,3505945-12              ,GRTF0217        ,2017-01-28,2017-02-07,8011  ,00:00,0,92:58,41,92:58,,, ,,"  还件，据AMM80-11-01，更换右发起动机，试车测试正常。赵云涛FOR RETURN GIVE BACK,REFER TO AMM80-11-01 REPLACED R ENG STARTER,RUNNING R ENG ,TEST IS OK. 试车员：李赞伟",SCH   
73N,73N01015,2157    ,DE    ,3505945-12              ,GRT06376        ,STARTER ASSY                                                ,3505945-11              ,GRTA3934        ,2016-08-18,2017-02-05,80    ,00:00,0,1333:55,680,1333:55,霍尼韦尔,1333:55,680,过站机组反映左发启动不成功.      叶永豪TR the crew say the left engine server fault,"     航后更换左发启动机,完成左发AGB/TGB管路冲洗慢车测试无渗漏,左发启动无异常.飞机可放行.黄长辉:36250119800216445A     叶永豪AF replace the left engine AGB/TGB oil cleantion the idle test is okthe left engine no leakage   P/N  3505945-12  S/N  ATS100-511P/N 3505945-11   S/N GRTA3934 封圈P/N  S3225-160   S3225-222滤芯 P/N  QA064222",FAIL  
73N,73N02459,5359    ,DE    ,3505945-12              ,GRTA2790C       ,STARTER ASSY                                                ,3505945-12              ,GRTF4079        ,2016-08-18,2017-01-25,80    ,30458:04,15279,31965:07,16136,1507:03,北京丰荣,1507:03,857,航后检查发现左发起动机本体有一条裂纹（陈卫志）,  航后依据AMM80-11-01更换左发起动机，测试正常，恢复飞机正常AF REFER TO AMM80-11-01 REPLACE THE STARTER ASSY（陈卫志）,FAIL  
73N,73N00972,2159    ,DE    ,3505945-12              ,GRTF3640        ,STARTER ASSY                                                ,3505945-12              ,GRTF3936        ,2014-05-22,2017-01-13,80    ,13321:10,6885,22129:23,11465,8808:13,AMECO,8808:13,4580,左发启动机磁堵与底座无法分离.         候睿Left engine starter chip detector not remover," 航后依据AMM80-11-01/401更换左发起动机,测试正常.    候睿AF refer AMM80-11-01/401 replace the left engine starter test ok",FAIL  
73N,73N01829,5810    ,DE    ,3505945-12              ,GRTF0009        ,STARTER ASSY                                                ,3505945-12              ,GRTA4339CC      ,2016-09-19,2016-09-29,80    ,00:00,0,91:28,71,91:28,,, ,,"  航后依据AMM80-11更换左发起动机,试车测试无渗漏(丁会)AF REFER TO AMM80-11 REPLACE THE L ENGINE START AND TEST IS OK挂签:6010115",FAIL  
73N,73N02772,5427    ,DE    ,3505945-12              ,GRT02651        ,STARTER ASSY                                                ,3505945-12              ,GRTF2229        ,2016-07-29,2016-09-27,73    ,5683:49,2831,6219:03,3098,535:14,霍尼韦尔,535:14,267,左发起动机磁堵垂尾超标left engine starter magine tie chip  李鹏," 因左发起动机磁堵垂尾超标,更换左发起动机change the left engine starter because magnetic chips   李鹏",FAIL  
73N,73N01829,5810    ,DE    ,3505945-12              ,GRTF7768S       ,STARTER ASSY                                                ,3505945-12              ,GRTF0009        ,2014-02-07,2016-09-19,8011  ,906:16,476,9382:33,7141,8476:17,霍尼韦尔,8476:17,6665,航后检查发现左发动机起动机失效 AF Inspection found that the leftengine starter failure 王鹏, 航后依据AMM80-11更换左发起动机试车测试工作正常 AF REFER TO AMM80-11REPLACED LEFT  ENGIUE STARFER TEST IS NORMAL 王鹏,FAIL  
73N,73N03313,5521    ,DE    ,3505945-12              ,GRTF4303        ,STARTER ASSY                                                ,3505945-12              ,GRTF3984        ,2016-05-31,2016-07-27,8011  ,16837:25,8722,17292:37,8938,455:12,北京丰荣,455:12,216,2号发动机启动增速自然很慢。机组,"        广州过站自检右发EEC当前和历史均无故障信息，请后续监控。CAN机务TR BITE EEC2 NO FAULT MES.FROM FLB11114683B航后依据手册检查前中后收油池磁堵，结果正常，检查起动油磁堵，发现有金属屑，结果超标，依据AMM80-11-01-000-801更换起动机，检查正常，试车无渗漏。杨帆/冯爱华AF CHECK THE FWD MID ,AFT CHIP MAGNETIC ,CHECK OK ,CHECK THE STARTARMAGNETIC DIP ,METAL OUT OF LIMIT ,REF TO AMM80-11-01-00-801 TO REPLACE THE STARTER ,CHECK OK .",FAIL  
73N,73N01386,5272    ,DE    ,3505945-12              ,GRTF3045        ,STARTER ASSY                                                ,3505945-12              ,GRTA9059        ,2016-06-16,2016-06-24,8011  ,92:17,55,171:13,112,78:56,,, ,,  航后完成MCO-2016-06-06-87右发起动机更换测试正常accomplished MCO replace RH ENG starter and test ok崔文斌 林炜,FAIL  
73N,73N01191,2677    ,DE    ,3505945-12              ,GRTF3045        ,STARTER ASSY                                                ,3505945-12              ,GRTF3272        ,2016-06-05,2016-06-16,80    ,00:00,0,92:17,55,92:17,,, ,,"航后依据AMM80-11-01完成左发起动机借件拆还工作,测试正常(任琳)",SCH   
73N,73N05194,1728    ,DE    ,3505945-12              ,GRTA7341        ,STARTER ASSY                                                ,3505945-12              ,GRTA7914        ,2016-05-15,2016-05-19,8011  ,00:00,0,25:51,16,25:51,,, ,,  航后更换左发启动机完成MCO-2016-05-18-195测试正常AF replace the starter on L ENG test ok刘鹤嵩,FAIL  
73N,73N04115,5685    ,DE    ,3505945-12              ,GRTF0394        ,STARTER ASSY                                                ,3505945-12              ,GRT05837        ,2014-07-22,2016-05-04,8011  ,20628:54,10380,26185:23,13154,5556:29,芜湖双翼,5556:29,2774,,   航后完成工卡MAOTS800030 依据AMM80-11-01完成左发收发机更换 完成发动机试车 检查无漏气.杜磊/王康业AF accomplish MAOTS8000-30 refer to AMM80-11-01 replace LH startercompartment engine test check normal and air leakage,SCH   
73N,73N02593,5372    ,DE    ,3505945-12              ,GRTF2868        ,STARTER ASSY                                                ,3505945-12              ,GRTF8404        ,2015-07-15,2016-04-29,8011  ,17088:07,8872,19472:19,10029,2384:12,AMECO,2384:12,1157,,"  航后完成 MAOTS800026 更换5372右发起动机, 试车测试正常.  李旭东AF ACCOMPLISH MAOTS800026 REPLACE 5372 REPLACE THE STARTER OF THERH ENGINE",SCH   
73N,73N05493,6062    ,DE    ,3505945-12              ,GRTA9448        ,STARTER ASSY                                                ,3505945-12              ,GRTF0064        ,2015-07-31,2016-04-28,8011  ,23764:21,12732,26137:08,13889,2372:47,AMECO,2372:47,1157,,"  航后完成工卡MAOTS800027,更换6062左发起动机,试慢车测试正常.朱金辉/曹驰AF accomplished MAOTS800027 replace munt of the starter of the B-6062LH engine rdle test ok.",FAIL  
73N,73N02330,5338    ,DE    ,3505945-12              ,GRTA9246        ,STARTER ASSY                                                ,3505945-12              ,GRTF0323        ,2015-12-23,2016-03-23,8011  ,25223:37,13046,26028:18,13436,804:41,AMECO,804:41,390,, 根据AMM80-11-01更换起动机，试车员：钱俊。Refer to AMM80-11-01replace starter。,FAIL  
73N,73N03392,5540    ,DE    ,3505945-12              ,GRTF0134        ,STARTER ASSY                                                ,3505945-12              ,A5064C          ,2016-01-04,2016-02-10,8011  ,00:00,0,317:52,157,317:52,,, ,,"   航后为完成借件拆还，依据手册AMM80-11-01更换右发起动机干冷转发动机无漏气，未完成试车验证试飞漏油，请后续安排。张佳楠AF ACCOMPLISHED BORW A PIECE REF TO AMM80-11-01 REPLACED THE STARTEROF RH ENG ,NO TEST ,PLEASED TEST AFTER .",SCH   
